Word,Part of Speech,CEFR Level
'm,be-verb,A1
're,be-verb,A1
's,be-verb,A1
AIDS,n.,B2
April,n.,A1
Atlantic,adjective,B1
August,n.,A1
CD,n.,A1
CD player,noun,A1
CD-ROM,noun,B1
CV,noun,B1
Christian,adjective,B1
DJ,noun,B1
DNA,noun,B2
DVD,n.,A1
December,n.,A1
Englishman,noun,B1
February,n.,A1
Friday,n.,A1
HIV,noun,B1
I,pronoun,A1
ID,n.,B2
ID card,noun,A2
IT,n.,B1
Internet/internet,noun,A1
January,n.,A1
July,n.,A1
June,n.,A1
MP3 player,noun,A2
March,n.,A1
May,n.,A1
Mediterranean,noun,B1
Miss,noun,A1
Monday,n.,A1
Mr./Mr,noun,A1
Mrs./Mrs,noun,A1
Ms./Ms,noun,A2
November,n.,A1
OK/okay,adverb,A1
October,n.,A1
Olympia,noun,B2
Olympiad,noun,B2
Olympic,adjective,A2
Olympics,noun,A1
PC,noun,A2
Saturday,n.,A1
September,n.,A1
Shakespearean,adjective,B2
Soviet,noun,B2
Sunday,n.,A1
T-shirt,n.,A1
T-shirt/tee-shirt,noun,A1
TV,n.,A1
Thursday,n.,A1
Tuesday,n.,A1
Wednesday,n.,A1
X-ray,noun,B2
a,determiner,A1
a.m./A.M./am/AM,adverb,A1
abandon,v.,B2
abandoned,adjective,B2
ability,n.,A2
able,adj.,A2
abnormal,adjective,B1
abnormally,adverb,B2
aboard,adverb,B1
abolish,v.,C1
aboriginal,adjective,B2
aborigine,noun,B1
abortion,n.,C1
about,preposition,A1
above,preposition,A1
abroad,adv.,B2
abruptly,adverb,B2
absence,n.,C1
absent,adj.,C1
absentee,noun,B2
absolute,adj.,B2
absolutely,adv.,B1
absorb,v.,B2
abstract,adj.,B2
absurd,adj.,C1
abundance,n.,C1
abundant,adjective,B1
abuse,noun,B2
academic,adjective,B1
academy,n.,C1
accelerate,v.,C1
accent,n.,B2
accept,v.,A2
acceptable,adj.,B2
acceptance,n.,C1
access,verb,B2
accessibility,noun,B2
accessible,adj.,C1
accessory,noun,B1
accident,n.,A2
accidental,adjective,B1
accidentally,adv.,B2
accommodate,v.,B2
accommodation,n.,B1
accompany,v.,B2
accomplish,v.,B2
accomplishment,n.,C1
accordance,n.,C1
according to,preposition,B1
accordingly,adv.,C1
account,verb,B1
accountability,n.,C1
accountable,adj.,C1
accountant,n.,B2
accumulate,v.,C1
accumulation,n.,C1
accuracy,n.,B2
accurate,adj.,B2
accurately,adv.,B2
accusation,n.,C1
accuse,v.,B2
accused,n.,C1
accustom,verb,B1
ache,verb,B2
achievable,adjective,B2
achieve,v.,A2
achievement,n.,B1
acid,noun,B2
acknowledge,v.,B2
acknowledgment/acknowledgement,noun,B1
acquaintance,noun,B1
acquire,v.,B2
acquisition,n.,C1
acre,n.,C1
across,preposition,A2
act,verb,B1
action,n.,A1
activate,v.,B2
activation,n.,C1
active,adj.,A2
actively,adverb,B2
